type,start_time,end_time,duration,duration_unit,total_distance,total_energy_burned,avg_heart_rate,min_heart_rate,max_heart_rate,avg_mets,temperature,humidity,elevation_ascended,num_segments
HKWorkoutActivityTypeRunning,2024-07-25 12:31:05+09:00,2024-07-25 12:52:03+09:00,20.88893234332403,min,2.0178,85.1403,134.446,111.0,149.0,6.34614,87.53,69.0,447.0,8
HKWorkoutActivityTypeRunning,2024-08-09 12:31:01+09:00,2024-08-09 13:04:27+09:00,31.07475742300351,min,2.68645,111.674,133.596,110.0,150.0,5.46681,88.466,63.0,543.0,20
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-08-12 11:54:08+09:00,2024-08-12 13:08:54+09:00,74.76666666666667,min,5.07624,275.267,150.11949644838086,121.0,178.0,6.338898335927702,90.3707532562555,63.61635517021244,18436.0,38
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-08-13 12:10:26+09:00,2024-08-13 12:46:23+09:00,35.95,min,2.97656,120.6223,131.2443578419311,93.0,164.0,5.4363182392803,90.90400999869958,64.0,200.0,22
HKWorkoutActivityTypeRunning,2024-08-14 12:26:23+09:00,2024-08-14 12:56:42+09:00,30.27622109055519,min,3.17093,138.328,153.738,116.0,178.0,6.93519,91.814,63.0,2804.0,9
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-08-15 13:22:27+09:00,2024-08-15 14:49:10+09:00,86.71666666666667,min,5.64175,301.459,140.299609943677,107.0,180.0,5.795213386247182,91.50009905538238,60.45551672016501,22727.0,24
HKWorkoutActivityTypeWalking,2024-08-17 16:45:26+09:00,2024-08-17 17:13:44+09:00,28.29434923728307,min,2.35485,91.1194,122.038,97.0,153.0,5.28573,89.726,66.0,836.0,6
HKWorkoutActivityTypeWalking,2024-08-18 15:10:38+09:00,2024-08-18 15:28:28+09:00,17.83917367657026,min,1.03494,30.5448,85.9263,76.0,99.0,3.62889,88.88,68.0,0.0,3
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeWalking,2024-09-06 11:51:17+09:00,2024-09-06 13:25:51+09:00,94.56666666666666,min,6.00523,315.071,122.8639054840635,79.0,178.0,5.980001222304333,80.39789603857498,72.66883807482806,23199.0,17
HKWorkoutActivityTypeHiking,2024-09-08 15:38:56+09:00,2024-09-08 16:15:14+09:00,36.30141838391622,min,2.36594,139.096,129.613,106.0,160.0,5.82035,88.754,56.0,8671.0,6
HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeElliptical+HKWorkoutActivityTypeWalking,2024-09-09 10:48:30+09:00,2024-09-09 12:25:34+09:00,97.06666666666666,min,6.34907,339.45222,117.65290516070897,98.0,176.0,5.913922550344119,85.298,66.0,19730.0,46
HKWorkoutActivityTypeRunning,2024-09-10 11:35:05+09:00,2024-09-10 12:34:28+09:00,48.79850271542867,min,3.91759,266.124,149.789,89.0,173.0,6.78619,88.376,63.0,26750.0,32
HKWorkoutActivityTypeWalking,2024-09-10 13:20:17+09:00,2024-09-10 13:30:59+09:00,10.68956638375918,min,0.823949,34.7468,117.5,104.0,137.0,7.04649,91.652,57.0,0.0,1
HKWorkoutActivityTypeWalking,2024-09-11 12:21:56+09:00,2024-09-11 13:06:31+09:00,44.55734658439954,min,3.15788,140.744,112.302,88.0,129.0,5.44521,91.922,59.0,0.0,9
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-09-12 12:03:27+09:00,2024-09-12 13:03:20+09:00,59.88333333333333,min,5.04082,197.422,119.83665390320421,80.0,167.0,5.133371283716094,80.25881855915397,86.00000000000001,2029.0,30
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeHiking,2024-09-13 11:35:35+09:00,2024-09-13 12:36:10+09:00,60.583333333333336,min,4.243299,279.196,125.10902023736872,91.0,170.0,6.629985525919114,,,20865.0,7
HKWorkoutActivityTypeWalking,2024-09-15 16:04:27+09:00,2024-09-15 16:24:37+09:00,20.17734691898028,min,1.31661,45.5078,87.0291,71.0,104.0,3.97779,84.866,68.0,254.0,3
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-09-19 12:11:56+09:00,2024-09-19 13:07:02+09:00,55.1,min,4.89173,203.5196,135.83228280337784,97.0,172.0,6.126877333354308,86.09,74.0,1124.0,27
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-09-20 11:30:00+09:00,2024-09-20 12:18:48+09:00,48.8,min,3.9809099999999997,239.35320000000002,139.46865665842327,91.0,174.0,,,,20718.0,21
HKWorkoutActivityTypeWalking,2024-09-21 15:22:29+09:00,2024-09-21 16:02:18+09:00,34.77507758339246,min,1.99997,106.177,108.015,86.0,160.0,4.0295,72.752,72.0,4950.0,7
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeWalking,2024-09-22 15:09:47+09:00,2024-09-22 15:52:28+09:00,42.68333333333333,min,2.158614,76.08590000000001,97.59376529774467,77.0,125.0,4.301301277292772,74.084,64.0,0.0,5
HKWorkoutActivityTypeRunning,2024-09-22 18:12:48+09:00,2024-09-22 18:18:13+09:00,5.409333882729213,min,0.726097,29.01,134.669,99.0,156.0,8.10847,,,200.0,1
HKWorkoutActivityTypeRunning,2024-09-23 11:28:47+09:00,2024-09-23 12:14:57+09:00,44.68311551014583,min,3.84691,263.306,151.837,104.0,173.0,8.3756,,,28447.0,24
